,last_updated,id_code,Country Name,Country Code,actor_type,isin_id,race_to_zero_member,end_target,end_target_percentage_reduction,end_target_baseline_year,end_target_intensity_unit,end_target_baseline_emissions,end_target_target_emissions,end_target_bau_emissions,end_target_other,Net-zero Target,Target Status,status_date,interim_target,interim_target_percentage_reduction,interim_target_baseline_year,interim_target_intensity_unit,interim_target_baseline_emissions,interim_target_target_emissions,interim_target_bau_emissions,interim_target_other,interim_target_year,end_target_text,interim_target_text,target_notes,source_url,gasses_coverage,territorial_emissions,consumption_emissions,international_aviation,international_shipping,scope_1,scope_2,scope_3,historical_emissions,coverage_notes,Detailed Plan,plan_options,Reporting Mechanism,equity,accountability,governance_notes,carbon_credit_offsets,carbon_credit_conditions,max_emission_offset,conditions_other,removals_targets,cdr,sinks_and_credits_notes,memberships,gdp_real,annual_revenue,population,industry,sector,employees,market_index,GHG,inventory_year,higher_net_zero,gcap_id
0,2022-05-28 08:07:58,COU-0001,Afghanistan,AFG,Country,,No,Net zero,,,,,,,,2050,Proposed / in discussion,2020,Reduction v. BAU,13.6,,,,48.9,42.7,,2030,"Climate Ambition Alliance  - no further information about end target
According to https://eciu.net/netzerotracker","13.6% GHG reduction by 2030 compared to BAU (conditional). Base Year: 2005
Target Years: 2020 to 2030
Contribution Type: Conditional
Sectors: Energy, natural resource management, agriculture, waste management and mining
Gases Covered: Carbon dioxide (CO2), methane (CH4), and nitrous oxide (N2O)
Target: There will be a 13.6% reduction in GHG emissions by 2030 compared to a business
as usual (BAU) 2030 scenario, conditional on external support.
Financial Needs: Total: USD 17.405 billion
 Adaptation: USD 10.785 billion
 Mitigation: USD 6.62 billion (2020-2030)",BAU target https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Afghanistan%20First/INDC_AFG_20150927_FINAL.pdf ,https://cop25.mma.gob.cl/wp-content/uploads/2020/02/Annex-Alliance-ENGLISH.pdf,Not Specified,,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,NDC uses conventional UNFCCC scope conditions https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Afghanistan%20First/INDC_AFG_20150927_FINAL.pdf ,No,,Less than annual reporting,Yes,No,NDC issued by prior government. ,Not Specified,,,,No,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)","NDC states: ""Forests and Rangelands Carbon sequestration on forest/rangelands, and forest carbon skills. Funding institutional capacity to monitor and verify projects. Better spatial planning for community and production agriculture. Reduce rural peoples’ dependence on fuel for cooking and heating. 100 Million/Year.""",['Climate Ambition Alliance'],80911742458.6898,,40099462,,,,,28790000,2019,No,
1,2022-05-02 08:45:40,COU-0002,Angola,AGO,Country,,No,Emissions reduction target,21,2015,,,,,,2030,In policy document,2025,Emissions reduction target,14,2015,,,,,,2025,"Angola plans to reduce GHG emissions up to 14% by 2025 as compared to the base year 2015 (unconditionally). Without any conditions and based on their own resources and capabilities.
An additional reduction of 10% relative to BAU in the year 2025; equivalent to an estimated mitigation level of 11,1 million tCO2e e in that year. This represents an additional targeted contribution, based on the provision of international support and funding.
The combined unconditional and conditional contribution is therefore a 24% reduction in GHG emissions compared to BAU scenario in 2025; this is equivalent to an estimated mitigation level of up to 26,5 million tCO2e in 2025.",,"Unconditionally, the target it is to achieve a 21% emission reduction by 2030, equivalent to an estimated mitigation level of 23,3 million tCO2e in that year. In addition, it is expected that through a conditional mitigation scenario the country could reduce an additional 15% below BAU emission levels by 2030, equivalent to an estimated mitigation level of 39,7 million tCO2e in that year https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Angola%20First/NDC%20Angola.pdf",https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Angola%20First/NDC%20Angola.pdf,Carbon dioxide and other GHGs,,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,"The mitigation action of this NDC comprises 4 sectors, namely:
 Energy
 AFOLU
 Industry
 Waste

The coverage is nation-wide, and the gases covered include CO2, CH4 and N2O gases.",Yes,"['Measures for all emission scopes that are covered by the target', 'Information on the emission reductions expected from these measures within a certain time period', 'Information on the extent to which measures will be applied (e.g. if switching to EVs, what share of the fleet; if installing an own solar PV installation, what is the installed capacity)']",Annual reporting,Yes,No,"For the short term (up to 2025), it is planned that Angola will develop and implement a MRV system, as part of the tracking process of the NDC. 
Regarding the process of monitoring and evaluation, the mitigation efforts will be assessed on an annual basis, based on the implementation results of the mitigation contributions proposed.
",Not Specified,,,,No,Not Specified,"Angola has only one project registered under the CDM mechanism, the Gove hydroelectric power station. The project was registered in 2014 and has the potential to reduce 126,118 tCO2e / year. By the end of 2016 the project had not issued any certified emission reduction (CER) and therefore had no access to finance from developed countries.

Article 6 of the Paris Agreement allows Parties to voluntarily cooperate in the implementation of their NDCs through market and non-market-based mechanisms. Negotiations on Article 6 are currently underway, and the country is following the opportunities that can arise from the future carbon market.


For reforestation, 50% of what was proposed for reduction in the INDC by 2030 (target 2030: 2032 ktCO2and sequestration) was considered.
For the reduction of flaring, the information from the World Bank9was used, which said in 2011 that Angola aimed to reduce flaring by 75%. In this scenario half 
of this reduction target was considered, compared to the value of flaring in 2015 (reported in the National Inventory).
For the solar villages it was considered as an assumption what was present in the PND 2013-2017, where the objective was the installation of 100 MW of solar 
PV in solar villages by 2025.
For solar panels in industry a value of 2 MW was proposed, since ENAC did not make assumptions associated with this measure.
Finally, composting, the capacity to send 500 ton/day of waste for composting was considered.",['Climate Ambition Alliance'],203276473600.46,,34503774,,,,,128290000,2019,,
2,2022-06-01 14:07:34,COU-0003,Argentina,ARG,Country,,No,Net zero,,,,,,,,2050,Declaration / pledge,2020,Other,,,,,,, argentina's updated goal is not to exceed the net emission of 349 million tons of carbon dioxide equivalent (mtco2e) by 2030.,2030,"The government of Argentina submitted its second Nationally Determined Contribution (NDC) in December 2020. The second NDC sets the absolute, economy-wide and unconditional goal of limiting greenhouse gas emissions to 359 MtCO2e in 2030 including LULUCF (Ministerio de Ambiente y Desarrollo Sostenible, 2020). We have estimated this target to be 313 MtCO2e (excl. LULUCF) by 2030.

This new target is 26% below Argentina’s previous NDC target, which provided an unconditional target limiting 2030 emissions to 422 MtCO2e (excl. LULUCF). Argentina’s second NDC covers emissions from all sectors and covers CO2, CH4, N2O, HFCs and PFCs. The country’s previous NDC also covered sulfur hexafluoride (SF6).

This new target represents an increase in emissions of 35% above 1990 levels and a 2% decrease below 2010 levels (excl. LULUCF).

https://climateactiontracker.org/countries/argentina/targets/"," Argentina's updated goal is not to exceed the net emission of 349 million tons of carbon dioxide equivalent (MtCO2e) by 2030. also information which suggests tat the target is 359 on climatewatch website
2018 emissions were 395.5MtCO2e","Target for net zero by 2050 declared (https://climateactiontracker.org/countries/argentina/targets/), but very briefly, with most focus on curbing emissions to 349/359 by 2030",https://climateactiontracker.org/countries/argentina/targets/,Carbon dioxide and other GHGs,,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,"Report claims to cover all sectors as well as GHGs beyond CO2, however there is no indication as to this coverage extends to international emissions. (https://climateactiontracker.org/countries/argentina/net-zero-targets/).
",No,,Less than annual reporting,No,Not Specified,"Information in line with CAT ARG net zero assessment as of 15.03.2022 (https://climateactiontracker.org/countries/argentina/net-zero-targets/).

Reporting mechanism (less than annual) as inventories: https://unfccc.int/BURs",Not Specified,,,,No,Not Specified,very little information on offsetting mentioned,['Climate Ambition Alliance'],985205026253.53,,45276780,,,,,398910000,2019,,
3,2022-06-26 15:43:31,COU-0004,Armenia,ARM,Country,,No,Net zero,,,,,,,,2050,In policy document,2020,Emissions reduction target,40,1990,,,,,,2030,Ecosystem neutral GHG emissions,Limiting emissions over 2015-2050 to 633 million tons of CO2 equivalent,,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Armenia%20First/NDC%20of%20Republic%20of%20Armenia%20%202021-2030.pdf,Carbon dioxide and other GHGs,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,,,Yes,,Less than annual reporting,No,,,Not Specified,,,,,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",,['Climate Ambition Alliance'],39527248037.08,,2790974,,,,,10000000,2019,,
4,2022-05-24 23:25:32,COU-0005,Antigua and Barbuda,ATG,Country,,No,Net zero,,,,,,,,2040,In policy document,2020,Other,,,,,,,list of sectoral targets,2030,The NDC targets included in this submission are based on the 1.5°C mitigation goal and adaptation goals that assume a 3.4°C increase in global temperatures (based on projections from the assessments of the INDCs). The targets are aligned with the Government of Antigua and Barbuda’s (GoAB) goal of net-zero by 2040.,"1. 86% renewable energy generation from local resources in the electricity sector by 2030 - Conditional
2. 100% all new vehicle sales to be electric vehicles by 2030 - Conditional
3. Explore potential for emissions reductions in the waste sector by 2025 - Conditional
4. Explore potential for emissions reductions in the Agriculture, Forestry and
Other Land Use (AFOLU) sector by 2030 - Conditional",,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Antigua%20and%20Barbuda%20First/ATG%20-%20UNFCCC%20NDC%20-%202021-09-02%20-%20Final.pdf,Not Specified,,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,,No,,Less than annual reporting,Yes,No,"NDC dated 2 Sept 2021 includes a section on Just Transition with ""targets to support social inclusion, gender and reduce transitional risks""",Not Specified,,,,No,Not Specified,"Within the NDC (2021-2030), there is no mention of any carbon removal strategies. Pathway towards interim target for 2030 is largely focused on energy transition, and emission reductions in transport (electric vehicles), waste, agriculture, forestry and other land use sectors.",['Climate Ambition Alliance'],1782760254.7237,,93220,,,,,1220000,2019,,
5,2022-06-01 14:11:39,COU-0006,Austria,AUT,Country,,No,Climate neutral,,,,,,,,2050,In policy document,2020,Emissions reduction target,55,1990,,,,,,2030,'Climate neutrality by no later than 2050' https://www.climatewatchdata.org/countries/AUT?end_year=2018&start_year=1990#ndc-content-overview,"36% of GHGs (non-EU ETS) by 2030 on 2005 base year; 100% of electricity from renewable sources by 2030; 43% by 2030 on 2005 for EU ETS sectors; EU target: at least 40% domestic reduction by 2030 compared to 1990

""The EU and its Member States, acting jointly, are committed to a binding target of a net domestic reduction of at least 55% in greenhouse gas emissions by 2030 compared to 1990.""",Following EU set out regulations https://ec.europa.eu/clima/eu-action/european-green-deal/2030-climate-target-plan_en,https://www.climatewatchdata.org/countries/AUT?end_year=2018&start_year=1990#ndc-content-overview,Carbon dioxide and other GHGs,Yes,Not Specified,Yes,Yes,Not Specified,Not Specified,Not Specified,No,"https://unfccc.int/sites/default/files/resource/LTS1_Austria.pdf  - information on aviation and shipping, as well as sector by sector GHG reductions",Yes,"['Measures for all emission scopes that are covered by the target', 'Schedule for regular review of measures']",Annual reporting,Yes,Not Specified,"The emission reduction target 2030 is an EU target with formal accountability, as does the 2050 target",Not Specified,,,,Yes,Yes (nature-based and CCS-based removals),"Permanent sequestration in products and applications (CCU – carbon capture and utilisation) and the permanent storage of CO2 in geological structures (CCS – carbon capture and storage). It must be noted here that secured storage capacity that is generally suitable for CO2 is very limited in Austria. The current potential domestic storage capacity is estimated at between 400 and 510 million tonnes of CO2, or up to 6.5 times the current annual CO2 emissions in Austria. The transport of CO2 to storage facilities outside of Austria can be considered as an alternative or long-term solution. - no clear commitments but intention to implement carbon removal

https://unfccc.int/sites/default/files/resource/LTS1_Austria.pdf",['Climate Ambition Alliance'],483142221653.78,,8922082,,,,,69800000,2019,,
6,2022-06-22 19:26:20,COU-0007,Belgium,BEL,Country,,No,Carbon neutral(ity),,,,,,,,2050,In policy document,2020,Emissions reduction target,55,1990,,,,,,2030,,,"Belgium's end emission targets are not set at the federal level but are instead determined by its constituent regions.
Namely, Wallonia and Brussels-Capital region aims for carbon neutrality by 2050, Flanders aims for 85% reduction in non-ETS sectors by 2050 (compared to 2005)

See: https://unfccc.int/sites/default/files/resource/LTS_BE_EN_summary.pdf",https://unfccc.int/sites/default/files/resource/LTS_BE_EN_summary.pdf,Carbon dioxide and other GHGs,Yes,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,,Yes,"['Information on the extent to which measures will be applied (e.g. if switching to EVs, what share of the fleet; if installing an own solar PV installation, what is the installed capacity)', 'Schedule for regular review of measures', 'Measures for all emission scopes that are covered by the target']",Annual reporting,Yes,Yes,"The plan refers to equity in terms of 'energy poverty', where in some regions of the country energy is more expensive and can lead to households struggling financially.",Not Specified,,,,No,Not Specified,The most recent plan mentions only reducing emissions without carbon removal.,['Climate Ambition Alliance'],597956586503.62,,11611420,,,,,108220000,2019,,
7,2022-08-07 15:25:49,COU-0008,Benin,BEN,Country,,No,Net zero,,,,,,,,2000,Achieved (self-declared),2020,Reduction v. BAU,20.15,,,,193.23,241.98,,,Member of CAA; https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Benin%20First/CDN_BENIN_VERSION_ANGLAISE.pdf,"Période de 2021 à 2030 : Pour les années à venir, les mesures envisagées dans la CDN révisée, dans les secteurs Energie, Agriculture et Déchets sont susceptibles de contribuer à réduire les émissions cumulées de GES (hors UTCATF) d’environ 48,75 Mt E CO2 par rapport au scénario de référence, soit une réduction de 20,15 % sur la période 2021-2030

20.15% reduction vs BAU for 2021-2030 (excluding 'Utilisation des Terres, Changement d’Affectation des Terres et Foresterie' i.e. land use and forestry). ","Member of CAA; https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Benin%20First/CDN_BENIN_VERSION_ANGLAISE.pdf
https://cop25.mma.gob.cl/wp-content/uploads/2020/02/Annex-Alliance-ENGLISH.pdf

The target includes both conditional and unconditional measures. The unconditional target is 214.03 vs 241.98 BAU (Mte CO2)

12 mesures ont été envisagées dans le secteur Energie et sont susceptibles de contribuer à réduire les émissions de carbone noir d’environ 1,8 Mt en 2030 par rapport au scénario de référence, soit une réduction de 14,2 % - an additional target for solid carbon pollution

A 2018 law exists relating to mitigating climate change, but does not cover this target. It requires that climate change is incorporated in development plans. https://sgg.gouv.bj/doc/loi-2018-18/",https://unfccc.int/sites/default/files/NDC/2022-06/CDN_ACTUALISEE_BENIN2021.pdf,Carbon dioxide and other GHGs,,No,No,No,Not Specified,Not Specified,Not Specified,No,"GES directs : Dioxyde de carbone (CO2), méthane (CH4), oxyde nitreux (N2O), HFCs Autres polluants (SLCP autres que GES et polluants atmosphériques : carbone noir, carbone organique, l’ammoniac (NH3), PM2,5, PM10, monoxyde de carbone (CO), oxydes d’azote (NOx), composés organiques volatils non méthaniques (COVNM).  

Couverture geographique: Tout le territoire national  

Geographic coverage is the whole country",Yes,,Less than annual reporting,Yes,Not Specified,"""AMBITION ET EQUITÉ "" - ""L’objectif de réduction des émissions cumulées sur la période 2021 à 2030 de 20,15 % fondé sur des mesures est équitable au regard de la faible contribution du Bénin aux émissions globales, de son faible niveau de développement et de sa fragilité socio-économique.""
Reference to equity largely focuses on the burden emission reduction will have on the development Benin economy",Not Specified,,,,No,Not Specified,,['Climate Ambition Alliance'],42946089683.962,,12996895,,,,,25780000,2019,,
8,2022-06-06 15:36:29,COU-0009,Burkina Faso,BFA,Country,,No,Net zero,,,,,,,,2050,Proposed / in discussion,,Reduction v. BAU,11.6,,,,104.577,118.323,,2030,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Burkina%20Faso%20First/INDC%20Burkina_ENG.%20version_finale.pdf,"ble 5. Change in emissions (BaU) and percentage of reduction by scenario
2007 2015 2020 2025 2030
BaU (in Gg) 21,916 75,633 92,062 105,316 118,323
Unconditional scenario (reduction in Gg) – 5,133 6,608 7,808
Unconditional scenario (reduction in %) 0% 5.58% 6.27% 6.60%
Conditional scenario (reduction in Gg) 10,953 11,829 13,766
Conditional scenario (reduction in %) 0% 11.9% 11.2% 11.6%

6% GHG reduction by 2030 based on BAU (unconditional); 36.95% GHG reduction by 2030 on BAU (conditional)",,https://cop25.mma.gob.cl/wp-content/uploads/2020/02/Annex-Alliance-ENGLISH.pdf,Not Specified,,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,,No,,Less than annual reporting,Yes,No,,Not Specified,,,,No,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",,['Climate Ambition Alliance'],48174826550.441,,22100684,,,,,56310000,2019,No,
9,2022-05-30 07:45:21,COU-0010,Bangladesh,BGD,Country,,No,Net zero,,,,,,,,2050,Proposed / in discussion,2019,Emissions reduction target,15,2012,,,,,,2030,Climate Ambition Alliance,"Bangladesh's NDC updated for 2021 states: 5% GHG reduction on BAU by 2030 in power, transport and industry sectors, based on existing resources (unconditional); 15% GHG reduction on BAU by 2030 in power, transport and industry sectors (conditional)","https://climateanalytics.org/media/decarbonisingasia2019-profile-bangladesh-climateanalytics.pdf

https://cop25.mma.gob.cl/wp-content/uploads/2020/12/1312-Annex-Alliance-ENGLISH-VF-2012.pdf",https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Bangladesh%20First/NDC_submission_20210826revised.pdf,Carbon dioxide and other GHGs,,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,,No,,Less than annual reporting,Yes,No,,Not Specified,,,,No,Not Specified,,['Climate Ambition Alliance'],1001067000655.9,,169356251,,,,,237700000,2019,,
