,Country Name,Net-zero Target,GHG,Carbon Capture Requirement,Component 1,Component 2
0,Angola,2030.0,128290000.0,3,-1.640047723731145,0.7523151156553757
1,Argentina,2050.0,398910000.0,14,-0.22153016382510216,-0.4869606339710327
2,Austria,2050.0,69800000.0,24,-0.11936596075611942,-0.5782174276550285
3,Belgium,2050.0,108220000.0,28,0.05290873538890892,-0.5136346903459345
4,Bangladesh,2050.0,237700000.0,33,0.33119265330575215,-0.38448969777554026
5,Canada,2050.0,774290000.0,48,1.2805204017407432,0.09100512873407071
6,Switzerland,2050.0,44260000.0,3,-0.8876848377342743,-0.8125649303969931
7,Chile,2050.0,55330000.0,24,-0.13054697758422773,-0.5868183457253173
8,Democratic Republic of the Congo,2030.0,679570000.0,1,-1.285365563146633,1.0591210344865896
9,Colombia,2050.0,270530000.0,40,0.6060885143397154,-0.2919201207678513
10,Cyprus,2050.0,8290000.0,1,-0.9867726932040993,-0.8548183852200292
11,Czech Republic,2030.0,110770000.0,29,-0.7267671571375769,1.013250430328646
12,Germany,2045.0,720230000.0,51,1.1413653512344788,0.46891479368255923
13,Denmark,2050.0,44060000.0,22,-0.2105490614124315,-0.6143902057773702
14,Ecuador,2050.0,98700000.0,4,-0.8099720110036005,-0.7697694767759121
15,Spain,2050.0,293080000.0,28,0.19575066841199026,-0.4037545442178379
16,Estonia,2050.0,14830000.0,22,-0.23313517902719227,-0.631764416917283
17,Finland,2035.0,58420000.0,24,-0.741129182928498,0.551218017615094
18,France,2050.0,352100000.0,28,0.24135561749249584,-0.3686732598703303
19,Gabon,2000.0,19680000.0,2,-2.985557605626951,2.9497205569568647
20,United Kingdom,2050.0,429130000.0,40,0.7286392585648627,-0.19764882802785289
21,Greece,2050.0,79910000.0,29,0.06668036360362482,-0.5200255511903951
22,Croatia,2050.0,17920000.0,3,-0.9080378427966345,-0.8282213355090456
23,Hungary,2050.0,62480000.0,29,0.053212144991743926,-0.5303858830470038
24,Ireland,2050.0,58680000.0,14,-0.4844270093971174,-0.68919217198446
25,Iceland,2040.0,2770000.0,1,-1.3996845878213384,-0.10063300217112009
26,Italy,2050.0,376190000.0,36,0.5451449104264596,-0.27086220323470744
27,Japan,2050.0,1134450000.0,39,1.2379954950907954,0.2111544407479213
28,South Korea,2050.0,652660000.0,38,0.8300679108278604,-0.085656378273149
29,Lithuania,2050.0,18300000.0,3,-0.9077442155406098,-0.8279954648202614
30,Latvia,2050.0,8930000.0,3,-0.9149844455115405,-0.833564960488444
