,Country Name,Net-zero Target,GHG,Environmental Protection Expenditures (% of GDP),log_GHG
0,Afghanistan,2050.0,28790000.0,,17.17553866258836
1,Angola,2030.0,128290000.0,,18.669803884225523
2,Argentina,2050.0,398910000.0,0.11630787528822,19.804246385501
3,Armenia,2050.0,10000000.0,0.342643167523109,16.11809565095832
4,Austria,2050.0,69800000.0,0.393365781784081,18.0611445677326
5,Belgium,2050.0,108220000.0,1.48363059287153,18.499676750178864
6,Burkina Faso,2050.0,56310000.0,0.110010530840118,17.8463826972308
7,Bangladesh,2050.0,237700000.0,,19.28651993233042
8,The Bahamas,2050.0,3180000.0,1.39137599746059,14.972391754756359
9,Bhutan,2030.0,360000.0,0.0418898917979481,12.793859310432293
10,Canada,2050.0,774290000.0,0.745072875939611,20.467457038382683
11,Switzerland,2050.0,44260000.0,0.588661413495962,17.605591892587178
12,Chile,2050.0,55330000.0,0.108994599819953,17.828825814874293
13,China,2060.0,12055400000.0,0.732529998194278,23.212778529281653
14,Republic of the Congo,2030.0,30070000.0,,17.219038554964712
15,Colombia,2050.0,270530000.0,0.482179253803376,19.415893555831353
16,Cape Verde,2050.0,750000.0,,13.527828485512494
17,Costa Rica,2050.0,8480000.0,0.122187457625191,15.953221007768086
18,Cyprus,2050.0,8290000.0,0.356993767003987,15.930560527111478
19,Czech Republic,2030.0,110770000.0,0.903483865393723,18.522966537493115
20,Germany,2045.0,720230000.0,0.68233379657675,20.395081163407305
21,Denmark,2050.0,44060000.0,0.401534881464791,17.601062899338473
22,Dominican Republic,2050.0,39760000.0,,17.498371939752648
23,Spain,2050.0,293080000.0,0.918046112654062,19.495956167256036
24,Estonia,2050.0,14830000.0,0.683448036335288,16.512162714114115
25,Ethiopia,2050.0,183370000.0,,19.027016527525348
26,Finland,2035.0,58420000.0,0.229901603807137,17.88316885492387
27,Fiji,2050.0,283410.0,,12.55464989143129
28,France,2050.0,352100000.0,1.04622078632657,19.679425784125282
29,Micronesia,2050.0,230000.0,0.420013642470663,12.345834587905333
30,United Kingdom,2050.0,429130000.0,0.716291671103865,19.877270461290912
31,Greece,2050.0,79910000.0,1.63058553940783,18.196411559350647
32,Croatia,2050.0,17920000.0,0.842009227058862,16.70142796551106
33,Hungary,2050.0,62480000.0,0.766343624200715,17.950357063495705
34,Ireland,2050.0,58680000.0,0.381522733185113,17.887609511239056
35,Iceland,2040.0,2770000.0,0.769318185050977,14.834357878163521
36,Italy,2050.0,376190000.0,0.97499689693902,19.74560489287238
37,Jamaica,2050.0,10150000.0,,16.13298426345207
38,Japan,2050.0,1134450000.0,1.2572943361516,20.849413788934424
39,Cambodia,2050.0,71770000.0,0.123207823059536,18.088977119406255
40,Kiribati,2050.0,120000.0,1.4778548693735,11.695247021764184
41,South Korea,2050.0,652660000.0,,20.296566877829854
42,Lebanon,2050.0,35130000.0,0.0252918515724023,17.37456602424201
43,Liberia,2050.0,15870000.0,,16.57994109250259
44,Lithuania,2050.0,18300000.0,0.543534908245912,16.722411617811648
45,Luxembourg,2050.0,10200000.0,1.0561168015216,16.1378982782545
46,Latvia,2050.0,8930000.0,0.571623294249227,16.00492695285268
47,Madagascar,2010.0,40220000.0,,17.50987494230878
48,Maldives,2030.0,2600000.0,,14.77102200299171
49,Marshall Islands,2050.0,230000.0,,12.345834587905333
50,Malta,2050.0,2130000.0,1.51461589942249,14.571632537685607
51,Myanmar,2050.0,242950000.0,,19.308366218816186
52,Mauritius,2050.0,6830000.0,0.075318694414971,15.736835231546973
53,Namibia,2050.0,21220000.0,0.289202856102313,16.870454691150112
54,Nicaragua,2050.0,38410000.0,0.176004505547814,17.463828400322086
55,Norway,2050.0,26980000.0,1.03306039344358,17.110606408743884
56,Nepal,2045.0,48370000.0,0.215317334644746,17.694390344799167
57,Nauru,2050.0,70000.0,,11.156250521031495
58,New Zealand,2030.0,72590000.0,0.908782923542235,18.100337729261025
59,Palau,2050.0,290000.0,,12.577636201962656
60,Papua New Guinea,2050.0,63470000.0,0.0534496097537445,17.966077911282653
61,Portugal,2050.0,61700000.0,0.697280591101098,17.937794488875618
62,Senegal,2050.0,33600000.0,0.468964982288244,17.33003662493343
63,Solomon Islands,2050.0,46360000.0,0.603581702312938,17.651947576435823
64,Slovakia,2050.0,37000000.0,0.921754478709066,17.4264284706085
65,Slovenia,2050.0,16810000.0,0.636749222046976,16.637484505384798
66,Sweden,2045.0,29870000.0,0.539595449899997,17.212365190192294
67,Seychelles,2050.0,780000.0,,13.567049198665774
68,East Timor,,6380000.0,,15.668678655320972
69,Trinidad and Tobago,2050.0,28470000.0,,17.16436145925422
70,Uganda,2030.0,59150000.0,0.185911142035237,17.89558714838867
71,Uruguay,2050.0,34360000.0,,17.35240365508033
72,Samoa,2050.0,790000.0,1.37011257625506,13.579788224443204
73,Yemen,2050.0,25260000.0,,17.044732674886617
