,Country Name,Country Code,Net Zero Target
0,Afghanistan,AFG,2050.0
1,Africa Western and Central,AFW,2050.0
2,Angola,AGO,2030.0
3,Albania,ALB,2030.0
4,Andorra,AND,2050.0
5,United Arab Emirates,ARE,2050.0
6,Argentina,ARG,2050.0
7,Armenia,ARM,2050.0
8,American Samoa,ASM,2050.0
9,Antigua and Barbuda,ATG,2040.0
10,Australia,AUS,2050.0
11,Austria,AUT,2050.0
12,Azerbaijan,AZE,2030.0
13,Burundi,BDI,2050.0
14,Belgium,BEL,2050.0
15,Benin,BEN,2000.0
16,Burkina Faso,BFA,2050.0
17,Bangladesh,BGD,2050.0
18,Bulgaria,BGR,2050.0
19,Bahrain,BHR,2060.0
20,"Bahamas, The",BHS,2050.0
21,Bosnia and Herzegovina,BIH,2050.0
22,Belarus,BLR,2030.0
23,Belize,BLZ,2050.0
24,Bermuda,BMU,2035.0
25,Bolivia,BOL,2050.0
26,Brazil,BRA,2050.0
27,Barbados,BRB,2030.0
28,Brunei Darussalam,BRN,2030.0
29,Bhutan,BTN,2030.0
30,Botswana,BWA,2030.0
31,Central African Republic,CAF,2050.0
32,Canada,CAN,2050.0
33,Central Europe and the Baltics,CEB,2050.0
34,Switzerland,CHE,2050.0
35,Channel Islands,CHI,2050.0
36,Chile,CHL,2050.0
37,China,CHN,2060.0
38,Ivory Coast,CIV,2030.0
39,Cameroon,CMR,2030.0
40,Democratic Republic of the Congo,COD,2030.0
41,Republic of the Congo,COG,2030.0
42,Colombia,COL,2050.0
43,Comoros,COM,2050.0
44,Cabo Verde,CPV,2050.0
45,Costa Rica,CRI,2050.0
46,Cuba,CUB,2030.0
47,Cyprus,CYP,2050.0
48,Czech Republic,CZE,2030.0
49,Germany,DEU,2045.0
50,Djibouti,DJI,2030.0
51,Dominica,DMA,2030.0
52,Denmark,DNK,2050.0
53,Dominican Republic,DOM,2050.0
54,Algeria,DZA,2030.0
55,Ecuador,ECU,2050.0
56,Egypt,EGY,2030.0
57,Euro area,EMU,2050.0
58,Spain,ESP,2050.0
59,Estonia,EST,2050.0
60,Ethiopia,ETH,2050.0
61,European Union,EUU,2050.0
62,Finland,FIN,2035.0
63,Fiji,FJI,2050.0
64,France,FRA,2050.0
65,"Micronesia, Fed. Sts.",FSM,2050.0
66,Gabon,GAB,2000.0
67,United Kingdom,GBR,2050.0
68,Georgia,GEO,1990.0
69,Ghana,GHA,2070.0
70,Guinea,GIN,2050.0
71,Gambia,GMB,2050.0
72,Guinea-Bissau,GNB,2050.0
73,Equatorial Guinea,GNQ,2050.0
74,Greece,GRC,2050.0
75,Grenada,GRD,2050.0
76,Guatemala,GTM,2030.0
77,Guam,GUM,2050.0
78,Guyana,GUY,2019.0
79,"Hong Kong SAR, China",HKG,2050.0
80,Honduras,HND,2030.0
81,Croatia,HRV,2050.0
82,Hungary,HUN,2050.0
83,Indonesia,IDN,2060.0
84,IDA only,IDX,2050.0
85,India,IND,2070.0
86,Ireland,IRL,2050.0
87,Iran,IRN,2030.0
88,Iraq,IRQ,2030.0
89,Iceland,ISL,2040.0
90,Israel,ISR,2050.0
91,Italy,ITA,2050.0
92,Jamaica,JAM,2050.0
93,Jordan,JOR,2030.0
94,Japan,JPN,2050.0
95,Kazakhstan,KAZ,2060.0
96,Kenya,KEN,2030.0
97,Kyrgyzstan,KGZ,2050.0
98,Cambodia,KHM,2050.0
99,Kiribati,KIR,2050.0
100,St. Kitts and Nevis,KNA,2030.0
101,South Korea,KOR,2050.0
102,Kuwait,KWT,2035.0
103,Latin America & Caribbean (excluding high income),LAC,2050.0
104,Lao PDR,LAO,2050.0
105,Lebanon,LBN,2050.0
106,Liberia,LBR,2050.0
107,St. Lucia,LCA,2030.0
108,Low income,LIC,2050.0
109,Liechtenstein,LIE,2030.0
110,Sri Lanka,LKA,2060.0
111,Lesotho,LSO,2050.0
112,Late-demographic dividend,LTE,2050.0
113,Lithuania,LTU,2050.0
114,Luxembourg,LUX,2050.0
115,Latvia,LVA,2050.0
116,"Macao SAR, China",MAC,2050.0
117,Morocco,MAR,2030.0
118,Monaco,MCO,2050.0
119,Moldova,MDA,2030.0
120,Madagascar,MDG,2010.0
121,Maldives,MDV,2030.0
122,Middle East & North Africa,MEA,2050.0
123,Mexico,MEX,2050.0
124,Marshall Islands,MHL,2050.0
125,Middle income,MIC,2050.0
126,Macedonia,MKD,2030.0
127,Mali,MLI,2050.0
128,Malta,MLT,2050.0
129,Myanmar,MMR,2050.0
130,Middle East & North Africa (excluding high income),MNA,2050.0
131,Montenegro,MNE,2030.0
132,Mongolia,MNG,2030.0
133,Northern Mariana Islands,MNP,2050.0
134,Mozambique,MOZ,2025.0
135,Mauritania,MRT,2030.0
136,Mauritius,MUS,2050.0
137,Malawi,MWI,2050.0
138,Malaysia,MYS,2050.0
139,North America,NAC,2050.0
140,Namibia,NAM,2050.0
141,Niger,NER,2050.0
142,Nigeria,NGA,2060.0
143,Nicaragua,NIC,2050.0
144,Netherlands,NLD,2050.0
145,Norway,NOR,2050.0
146,Nepal,NPL,2045.0
147,Nauru,NRU,2050.0
148,New Zealand,NZL,2030.0
149,Oman,OMN,2050.0
150,Other small states,OSS,2050.0
151,Pakistan,PAK,2050.0
152,Panama,PAN,2050.0
153,Peru,PER,2050.0
154,Philippines,PHL,2030.0
155,Palau,PLW,2050.0
156,Papua New Guinea,PNG,2050.0
157,Poland,POL,2030.0
158,Puerto Rico,PRI,2050.0
159,Portugal,PRT,2050.0
160,Paraguay,PRY,2030.0
161,West Bank and Gaza,PSE,2050.0
162,Pacific island small states,PSS,2050.0
163,Post-demographic dividend,PST,2050.0
164,Qatar,QAT,2030.0
165,Romania,ROU,2050.0
166,Russia,RUS,2060.0
167,Rwanda,RWA,2050.0
168,South Asia,SAS,2050.0
169,Saudi Arabia,SAU,2060.0
170,Sudan,SDN,2050.0
171,Senegal,SEN,2050.0
172,Singapore,SGP,2050.0
173,Solomon Islands,SLB,2050.0
174,Sierra Leone,SLE,2050.0
175,El Salvador,SLV,2030.0
176,San Marino,SMR,2030.0
177,Somalia,SOM,2050.0
178,Republic of Serbia,SRB,2030.0
179,Sub-Saharan Africa (excluding high income),SSA,2050.0
180,South Sudan,SSD,2030.0
181,Sub-Saharan Africa,SSF,2050.0
182,Small states,SST,2050.0
183,Sao Tome and Principe,STP,2050.0
184,Slovakia,SVK,2050.0
185,Slovenia,SVN,2050.0
186,Sweden,SWE,2045.0
187,Eswatini,SWZ,2030.0
188,Seychelles,SYC,2050.0
189,Turks and Caicos Islands,TCA,2030.0
190,Chad,TCD,2050.0
191,East Asia & Pacific (IDA & IBRD countries),TEA,2050.0
192,Europe & Central Asia (IDA & IBRD countries),TEC,2050.0
193,Togo,TGO,2050.0
194,Thailand,THA,2065.0
195,Tajikistan,TJK,2030.0
196,Turkmenistan,TKM,2030.0
197,Latin America & the Caribbean (IDA & IBRD countries),TLA,2050.0
198,Timor-Leste,TLS,2050.0
199,Middle East & North Africa (IDA & IBRD countries),TMN,2050.0
200,Tonga,TON,2050.0
201,South Asia (IDA & IBRD),TSA,2050.0
202,Sub-Saharan Africa (IDA & IBRD countries),TSS,2050.0
203,Trinidad and Tobago,TTO,2050.0
204,Tunisia,TUN,2030.0
205,Turkiye,TUR,2050.0
206,Tuvalu,TUV,2050.0
207,United Republic of Tanzania,TZA,2050.0
208,Uganda,UGA,2030.0
209,Ukraine,UKR,2060.0
210,Upper middle income,UMC,2050.0
211,Uruguay,URY,2050.0
212,United States of America,USA,2050.0
213,Uzbekistan,UZB,2030.0
214,St. Vincent and the Grenadines,VCT,2050.0
215,Venezuela,VEN,2030.0
216,British Virgin Islands,VGB,2050.0
217,Virgin Islands (U.S.),VIR,2050.0
218,Vietnam,VNM,2050.0
219,Samoa,WSM,2050.0
220,Yemen,YEM,2050.0
221,South Africa,ZAF,2050.0
222,Zambia,ZMB,2050.0
223,Zimbabwe,ZWE,2030.0
