,Country Name,Country Code,Net-zero Target,Target Status,Detailed Plan,Reporting Mechanism,CO₂ Removal,GHG
0,Afghanistan,AFG,2050.0,Proposed / in discussion,No,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",28790000.0
1,Angola,AGO,2030.0,In policy document,Yes,Annual reporting,Not Specified,128290000.0
2,Argentina,ARG,2050.0,Declaration / pledge,No,Less than annual reporting,Not Specified,398910000.0
3,Armenia,ARM,2050.0,In policy document,Yes,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",10000000.0
4,Antigua and Barbuda,ATG,2040.0,In policy document,No,Less than annual reporting,Not Specified,1220000.0
5,Austria,AUT,2050.0,In policy document,Yes,Annual reporting,Yes (nature-based and CCS-based removals),69800000.0
6,Belgium,BEL,2050.0,In policy document,Yes,Annual reporting,Not Specified,108220000.0
7,Benin,BEN,2000.0,Achieved (self-declared),Yes,Less than annual reporting,Not Specified,25780000.0
8,Burkina Faso,BFA,2050.0,Proposed / in discussion,No,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",56310000.0
9,Bangladesh,BGD,2050.0,Proposed / in discussion,No,Less than annual reporting,Not Specified,237700000.0
10,The Bahamas,BHS,2050.0,Proposed / in discussion,Yes,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",3180000.0
11,Belize,BLZ,2050.0,In policy document,No,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",6850000.0
12,Barbados,BRB,2030.0,In policy document,Yes,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",3790000.0
13,Bhutan,BTN,2030.0,Achieved (self-declared),Yes,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",360000.0
14,Central African Republic,CAF,2050.0,Proposed / in discussion,Yes,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",46580000.0
15,Canada,CAN,2050.0,In law,Yes,Annual reporting,Yes (nature-based and CCS-based removals),774290000.0
16,Switzerland,CHE,2050.0,Proposed / in discussion,No,Annual reporting,,44260000.0
17,Chile,CHL,2050.0,In law,Yes,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",55330000.0
