Region/Country,Second Tier Authority,Local Authority,Local Authority Code,Emissions per km2 (kt CO2e)
North East (England),North East Total,North East Total,,1.5
North West (England),North West Total,North West Total,,2.3
Yorkshire and the Humber,Yorkshire and the Humber Total,Yorkshire and the Humber Total,,2
East Midlands (England),East Midlands Total,East Midlands Total,,1.6
West Midlands (England),West Midlands Total,West Midlands Total,,2
East ,East of England Total,East of England Total,,1.6
London ,London Total,London Total,,16.3
South East (England),South East Total,South East Total,,1.8
South West (England),South West Total,South West Total,,0.9
Wales,Wales Total,Wales Total,,1
Scotland,Scotland Total,Scotland Total,,0.3
Northern Ireland,Northern Ireland Total,Northern Ireland Total,,1
