Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.98213634,0.937815051,0.902599398,0.904580639,0.906339599,0.926339289,0.9368686,0.957668496,0.958016911,0.896762063,0.886253682,0.954243207,0.956164399,0.982878379,1.027664376,1.002857151,0.991334539,1.00782239,1.047526258,0.985335077,1.011806718,0.970187523,0.983547239,0.995664911,1.00693765,0.956703663,0.938564718,0.928507991,0.908093518,0.903764111
Afghanistan,AFG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.222538139,0.207535164,0.115281586,0.095688586,0.083465136,0.075522666,0.068979245,0.061836595,0.056237094,0.042049859,0.03888864,0.037077233,0.04904702,0.05387472,0.043730135,0.063495466,0.069174384,0.068331059,0.134709696,0.178197751,0.252220038,0.305307955,0.265209509,0.189910278,0.149161535,0.176278015,0.15301907,0.134106112,0.165454682,0.160976451
Africa Western and Central,AFW,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.473668662,0.525418076,0.563117533,0.518770416,0.466820831,0.497312417,0.559529151,0.544999077,0.510473913,0.506915751,0.525718639,0.539255115,0.497135791,0.515363018,0.501186261,0.501186433,0.467292228,0.435300409,0.449221636,0.423464619,0.464418918,0.468717763,0.472242412,0.49921933,0.506917708,0.485477551,0.4908066,0.474881978,0.47830457,0.485883896
Angola,AGO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.554586251,0.545438592,0.544626652,0.710983896,0.839397859,0.914301947,1.073463414,1.086668102,1.091309196,1.109588184,0.988162665,0.942060505,0.895745323,0.924723238,0.929619336,0.812813416,0.821333212,0.811585642,0.888826551,0.93967949,0.975852538,0.983960246,0.947662543,1.031093319,1.092215832,1.125224458,1.020760058,0.80275079,0.766143022,0.779202575
Albania,ALB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.819541634,1.24281022,0.683699826,0.638307036,0.645355189,0.605436253,0.612367359,0.466921472,0.572153695,0.955359308,1.026213109,1.055495882,1.232378783,1.338984981,1.404058688,1.338209399,1.339995739,1.39393137,1.384311249,1.441493562,1.527623663,1.66942319,1.50324046,1.533630039,1.668337371,1.60377515,1.557664358,1.788786074,1.782738948,1.69224832
Andorra,AND,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.6536803,7.396182848,7.157446363,6.930826966,6.717237086,6.833206204,7.015137107,7.266318296,7.516951493,7.767877542,7.867225441,7.667354763,7.480697983,7.171174197,7.279061032,7.265802913,6.856060282,6.908198002,7.100125192,7.041108987,7.270794907,6.943755715,6.900145178,6.725797487,6.42269737,6.550887838,6.479183882,6.365372358,6.532201212,6.549388942
Arab World,ARB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.815685311,2.765204092,2.92858067,3.070173974,3.16764666,3.185229118,3.220526545,3.299450289,3.242682871,3.212623795,3.271692877,3.376558933,3.415743553,3.443733008,3.551750704,3.707599951,3.808299414,3.861106093,4.062116813,4.090869403,4.230679751,4.229551929,4.426554863,4.404144395,4.452992882,4.472560646,4.429537448,4.386718652,4.246680843,4.272608461
United Arab Emirates,ARE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,29.05558558,30.65152414,28.21053089,28.6153276,30.39041246,30.8834719,30.52393659,29.65639872,28.56771181,27.66045436,25.86912537,28.13967236,27.28657551,27.22474145,27.54837547,27.20396858,24.81345968,22.44822788,22.32895073,19.64556463,19.19292484,19.31149239,20.26435367,21.07783662,20.91002932,21.89550487,22.35647344,21.72844747,19.37819696,20.50228321
Argentina,ARG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.073750055,3.199442949,3.21523724,3.240345088,3.244831292,3.230402468,3.462905039,3.5213341,3.661559517,3.669819285,3.56803988,3.342005133,3.100697226,3.335060785,3.656178095,3.736578794,3.923818389,4.082895585,4.15233041,3.848409856,4.099689714,4.280989353,4.264223782,4.342115069,4.209095633,4.301913876,4.201845776,4.071308362,3.975771971,3.740650291
